# type  value  stat. err
v4_L  1.0037977073e-03  7.9861747334e-04
v4(Psi2)  1.3275103672e-03  3.4803017185e-04
rho_422  7.9763899390e-01  2.8163720519e-01
chi_422  1.0736609154e+00  2.3816915215e-01
v5_L  6.2652586456e-04  7.4092025832e-04
v5(Psi23)  9.1641493217e-05  2.9533427665e-04
rho_523  1.4472926330e-01  4.9551248159e-01
chi_523  5.8054751843e-01  1.8694647921e+00
v6_L  4.5285964471e-06  6.6451742291e-07
v6(Psi2)  -1.5299353558e-04  3.4633476066e-04
v6(Psi3)  5.9161084864e-05  3.3260825329e-04
rho_6222  -inf  inf
rho_633  inf  inf
chi_6222  -2.6698545223e+00  6.0137840097e+00
chi_633  1.3980376011e+00  7.8547265646e+00
