# type  value  stat. err
v4_L  9.0301475829e-03  3.6600346224e-03
v4(Psi2)  1.4355799071e-02  1.7259672109e-03
rho_422  8.4646375907e-01  1.2041644822e-01
chi_422  1.1612897739e+00  8.8033984729e-02
v5_L  3.6609119974e-03  1.0651029417e-03
v5(Psi23)  4.4294409552e-03  6.4365706402e-04
rho_523  7.7080719256e-01  1.2806693666e-01
chi_523  2.2348729473e+00  2.4842519671e-01
v6_L  1.4510011265e-05  9.1449235947e-06
v6(Psi2)  3.2796555570e-03  8.7434031198e-04
v6(Psi3)  5.9713378121e-04  5.9213573373e-04
rho_6222  6.3979432486e-01  1.8381824676e-01
rho_633  1.1648869760e-01  1.1618560936e-01
chi_6222  2.0940540566e+00  5.0201714576e-01
chi_633  7.1161602996e-01  6.9295207839e-01
