# type  value  stat. err
v4_L  1.6996216195e-02  9.4322376330e-04
v4(Psi2)  2.6852632945e-03  1.2991645388e-03
rho_422  1.5605614328e-01  7.5951028345e-02
chi_422  5.4281586386e-01  2.5843080924e-01
v5_L  8.4168112556e-03  7.5046034604e-04
v5(Psi23)  2.4912743646e-03  8.8093115258e-04
rho_523  2.8381647765e-01  1.0270354909e-01
chi_523  1.3632639361e+00  4.6813833836e-01
v6_L  2.7076817987e-05  4.0837457458e-06
v6(Psi2)  -1.6494326829e-05  4.7144699318e-04
v6(Psi3)  1.1606066590e-03  6.9551624738e-04
rho_6222  -3.5084357166e-03  1.0028011261e-01
rho_633  2.4686753802e-01  1.5025832547e-01
chi_6222  -3.5754453699e-02  1.0219372239e+00
chi_633  8.9661649721e-01  5.2254921661e-01
